,team_abbr,score,h/a,opp,game_won,game_lost,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,free_throws,personal_fouls,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_percentage,two_point_field_goals,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_field_goals,opp_personal_fouls,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,opp_two_point_field_goals,date
205,LAC,113,h,SAS,0,1,67.4,29,12.5,7,119.6,77.6,38,0.5870000000000001,0.5,43,0.151,0.9229999999999999,12,16,6.2,6,0.40700000000000003,0.429,15,50.6,45,0.616,12.4,13,0.5489999999999999,28,33,0.563,0.45799999999999996,44,13,0.5,20,44,0.575,0.429,24,2021-01-05 22:00:00
206,LAL,94,a,MEM,1,0,63.2,24,13.1,8,93.6,89.6,43,0.489,0.43700000000000006,38,0.126,0.818,9,14,7.1,7,0.35600000000000004,0.29,9,57.8,52,0.512,15.6,17,0.518,29,33,0.47100000000000003,0.414,36,14,0.385,10,38,0.496,0.426,26,2021-01-05 20:00:00
207,MEM,92,h,LAL,0,1,66.7,24,7.1,4,95.6,78.6,33,0.47100000000000003,0.414,36,0.149,0.769,10,14,14.2,14,0.299,0.385,10,42.2,38,0.496,12.3,13,0.426,26,43,0.489,0.43700000000000006,38,14,0.29,9,52,0.512,0.518,29,2021-01-05 20:00:00
208,CHI,111,a,POR,1,0,67.5,27,11.6,5,107.6,80.4,41,0.527,0.44,40,0.198,0.833,15,19,5.0,5,0.451,0.39,16,53.1,52,0.561,13.2,15,0.48,24,36,0.516,0.415,39,16,0.373,19,46,0.532,0.465,20,2021-01-05 22:30:00
209,POR,108,h,CHI,0,1,59.0,23,6.0,3,110.6,76.6,36,0.516,0.415,39,0.18100000000000002,0.647,11,16,8.0,8,0.5429999999999999,0.373,19,46.9,46,0.532,9.8,11,0.465,20,41,0.527,0.44,40,19,0.39,16,52,0.561,0.48,24,2021-01-05 22:30:00
210,CHO,102,a,ATL,1,0,68.8,22,12.5,7,93.9,77.4,41,0.441,0.376,32,0.38799999999999996,0.818,27,14,11.0,11,0.424,0.306,11,46.2,49,0.512,8.3,9,0.429,21,45,0.41100000000000003,0.375,36,25,0.175,7,57,0.452,0.518,29,2021-01-06 19:30:00
211,ATL,94,h,CHO,0,1,69.4,25,2.0,1,101.8,84.9,45,0.41100000000000003,0.375,36,0.188,0.833,15,25,6.0,6,0.41700000000000004,0.175,7,53.8,57,0.452,11.1,13,0.518,29,41,0.441,0.376,32,14,0.306,11,49,0.512,0.429,21,2021-01-06 19:30:00
212,LAC,108,a,GSW,1,0,52.8,19,5.4,3,104.9,81.8,36,0.512,0.444,36,0.309,1.0,25,26,6.2,6,0.42,0.324,11,57.8,48,0.5870000000000001,17.1,19,0.532,25,27,0.5,0.45299999999999996,39,21,0.267,8,35,0.535,0.5539999999999999,31,2021-01-06 22:00:00
213,GSW,101,h,LAC,0,1,64.1,25,4.3,2,112.1,69.2,27,0.5,0.45299999999999996,39,0.221,0.789,15,21,10.4,10,0.349,0.267,8,42.2,35,0.535,12.1,13,0.5539999999999999,31,36,0.512,0.444,36,26,0.324,11,48,0.5870000000000001,0.532,25,2021-01-06 22:00:00
214,HOU,107,a,IND,0,1,48.7,19,18.2,12,113.4,82.9,34,0.531,0.48100000000000004,39,0.321,0.8079999999999999,21,22,7.0,7,0.37,0.267,8,50.6,39,0.579,14.8,16,0.608,31,31,0.522,0.47200000000000003,42,21,0.391,9,38,0.568,0.5,33,2021-01-06 19:00:00
215,IND,114,h,HOU,1,0,50.0,21,17.6,9,106.5,86.1,31,0.522,0.47200000000000003,42,0.292,0.8079999999999999,21,21,10.0,10,0.258,0.391,9,49.4,38,0.568,8.2,9,0.5,33,34,0.531,0.48100000000000004,39,22,0.267,8,39,0.579,0.608,31,2021-01-06 19:00:00
216,BOS,107,a,MIA,1,0,52.4,22,11.1,5,113.8,86.0,37,0.485,0.424,42,0.121,0.917,11,23,7.6,7,0.354,0.34299999999999997,12,55.8,53,0.513,6.3,7,0.469,30,36,0.512,0.43200000000000005,35,15,0.361,13,42,0.568,0.489,22,2021-01-06 19:30:00
217,MIA,105,h,BOS,0,1,74.3,26,10.9,7,115.9,69.2,36,0.512,0.43200000000000005,35,0.321,0.846,22,15,2.2,2,0.444,0.361,13,44.2,42,0.568,8.0,8,0.489,22,37,0.485,0.424,42,23,0.34299999999999997,12,53,0.513,0.469,30,2021-01-06 19:30:00
218,DET,115,a,MIL,0,1,52.6,20,6.4,3,128.1,78.0,32,0.45899999999999996,0.392,38,0.309,0.867,26,20,5.9,6,0.423,0.317,13,50.0,47,0.522,7.6,9,0.446,25,38,0.65,0.544,49,22,0.442,19,47,0.655,0.638,30,2021-01-06 20:00:00
219,MIL,130,h,DET,1,0,71.4,35,7.1,4,113.4,71.7,38,0.65,0.544,49,0.233,0.619,13,22,4.9,5,0.478,0.442,19,50.0,47,0.655,12.4,14,0.638,30,32,0.45899999999999996,0.392,38,20,0.317,13,47,0.522,0.446,25,2021-01-06 20:00:00
220,OKC,111,a,NOP,1,0,70.0,28,7.5,5,106.7,79.1,34,0.569,0.46,40,0.184,0.75,12,18,9.7,10,0.529,0.413,19,42.2,38,0.59,13.0,14,0.512,21,43,0.517,0.494,44,18,0.182,4,52,0.555,0.597,40,2021-01-06 20:00:00
221,NOP,110,h,OKC,0,1,56.8,25,0.0,0,107.6,91.5,43,0.517,0.494,44,0.258,0.7829999999999999,18,18,10.7,11,0.247,0.182,4,57.8,52,0.555,13.1,15,0.597,40,34,0.569,0.46,40,18,0.413,19,38,0.59,0.512,21,2021-01-06 20:00:00
222,UTA,100,a,NYK,0,1,50.0,20,13.8,9,116.1,74.4,32,0.516,0.44,40,0.121,0.545,6,15,5.2,5,0.484,0.318,14,46.7,42,0.522,12.7,14,0.5529999999999999,26,37,0.563,0.517,45,17,0.364,8,48,0.5870000000000001,0.569,37,2021-01-06 19:30:00
223,NYK,112,h,UTA,1,0,48.9,22,10.6,5,103.7,78.7,37,0.563,0.517,45,0.218,0.737,14,17,10.4,10,0.253,0.364,8,53.3,48,0.5870000000000001,11.2,12,0.569,37,32,0.516,0.44,40,15,0.318,14,42,0.522,0.5529999999999999,26,2021-01-06 19:30:00
224,CLE,94,a,ORL,0,1,66.7,24,7.7,4,113.1,80.0,32,0.447,0.424,36,0.306,0.6920000000000001,18,19,9.7,9,0.306,0.154,4,51.1,45,0.48700000000000004,9.4,10,0.542,32,35,0.568,0.494,40,22,0.414,12,43,0.59,0.5379999999999999,28,2021-01-06 19:00:00
225,ORL,105,h,CLE,1,0,50.0,20,6.8,4,101.3,72.9,35,0.568,0.494,40,0.222,0.722,13,22,4.3,4,0.358,0.414,12,48.9,43,0.59,14.4,15,0.5379999999999999,28,32,0.447,0.424,36,19,0.154,4,45,0.48700000000000004,0.542,32,2021-01-06 19:00:00
226,WAS,136,a,PHI,0,1,57.4,27,3.8,2,128.5,96.3,26,0.585,0.5,47,0.37200000000000005,0.743,26,27,8.2,9,0.39399999999999996,0.43200000000000005,16,50.0,35,0.622,10.6,13,0.544,31,34,0.728,0.617,50,21,0.621,18,35,0.738,0.615,32,2021-01-06 19:00:00
227,PHI,141,h,WAS,1,0,66.0,33,10.5,6,123.9,79.1,34,0.728,0.617,50,0.40700000000000003,0.6970000000000001,23,21,8.2,9,0.358,0.621,18,50.0,35,0.738,14.3,16,0.615,32,26,0.585,0.5,47,27,0.43200000000000005,16,35,0.622,0.544,31,2021-01-06 19:00:00
228,TOR,115,a,PHO,0,1,46.2,18,11.6,5,131.4,80.0,32,0.5820000000000001,0.494,39,0.405,0.7190000000000001,23,19,6.4,6,0.44299999999999995,0.4,14,50.6,42,0.618,11.4,12,0.568,25,33,0.608,0.48200000000000004,40,23,0.525,21,41,0.657,0.442,19,2021-01-06 21:00:00
229,PHO,123,h,TOR,1,0,75.0,30,6.8,3,122.8,76.7,33,0.608,0.48200000000000004,40,0.289,0.917,22,23,4.3,4,0.48200000000000004,0.525,21,49.4,41,0.657,9.7,10,0.442,19,32,0.5820000000000001,0.494,39,19,0.4,14,42,0.618,0.568,25,2021-01-06 21:00:00
230,CHI,124,a,SAC,0,1,55.1,27,3.7,2,130.3,73.3,33,0.602,0.527,49,0.161,0.8,12,21,3.1,3,0.43,0.35,14,52.4,43,0.622,12.3,14,0.66,35,27,0.593,0.516,47,16,0.37799999999999995,14,39,0.622,0.611,33,2021-01-06 22:00:00
231,SAC,128,h,CHI,1,0,63.8,30,5.7,3,126.2,73.0,27,0.593,0.516,47,0.297,0.741,20,16,8.1,8,0.40700000000000003,0.37799999999999995,14,47.6,39,0.622,6.4,7,0.611,33,33,0.602,0.527,49,21,0.35,14,43,0.622,0.66,35,2021-01-06 22:00:00
232,PHI,109,a,BRK,0,1,56.1,23,10.0,6,111.3,79.6,43,0.523,0.47100000000000003,41,0.23,0.9,18,25,5.5,6,0.299,0.34600000000000003,9,49.5,47,0.569,17.3,20,0.525,32,37,0.531,0.45399999999999996,44,17,0.405,15,48,0.556,0.483,29,2021-01-07 19:30:00
233,BRK,122,h,PHI,1,0,68.2,30,11.5,7,99.4,90.2,37,0.531,0.45399999999999996,44,0.299,0.655,19,17,10.0,11,0.381,0.405,15,50.5,48,0.556,9.9,12,0.483,29,43,0.523,0.47100000000000003,41,25,0.34600000000000003,9,47,0.569,0.525,32,2021-01-07 19:30:00
234,DAL,124,a,DEN,1,0,64.3,27,13.2,7,110.4,80.4,37,0.575,0.483,42,0.35600000000000004,0.774,24,21,11.3,12,0.46,0.4,16,48.4,44,0.616,11.4,13,0.5529999999999999,26,6,0.521,0.625,5,2,0.4,2,7,0.551,1.0,3,2021-01-07 22:00:00
235,DEN,117,h,DAL,0,1,58.1,2,2.1,1,117.0,84.4,6,0.521,0.625,5,0.21600000000000003,0.75,3,2,7.5,1,0.45399999999999996,0.4,2,51.6,7,0.551,10.9,0,1.0,3,37,0.575,0.483,42,21,0.4,16,44,0.616,0.5529999999999999,26,2021-01-07 22:00:00
236,SAS,118,a,LAL,1,0,65.1,28,5.4,3,111.5,79.1,34,0.5539999999999999,0.467,43,0.185,0.941,16,15,4.1,4,0.38,0.457,16,45.5,40,0.593,5.7,6,0.474,27,39,0.5579999999999999,0.5,43,20,0.33299999999999996,10,48,0.5720000000000001,0.589,33,2021-01-07 22:00:00
237,LAL,109,h,SAS,0,1,48.8,21,7.0,4,120.7,86.7,39,0.5579999999999999,0.5,43,0.244,0.619,13,20,2.0,2,0.349,0.33299999999999996,10,54.5,48,0.5720000000000001,12.0,13,0.589,33,34,0.5539999999999999,0.467,43,15,0.457,16,40,0.593,0.474,27,2021-01-07 22:00:00
238,CLE,94,a,MEM,1,0,66.7,24,5.8,3,97.9,73.2,30,0.5379999999999999,0.456,36,0.203,0.563,9,14,12.0,11,0.38,0.433,13,43.5,37,0.546,14.8,15,0.469,23,37,0.5,0.434,36,17,0.355,11,48,0.52,0.48100000000000004,25,2021-01-07 20:00:00
239,MEM,90,h,CLE,0,1,75.0,27,12.2,6,102.3,84.1,37,0.5,0.434,36,0.096,0.875,7,17,14.1,13,0.373,0.355,11,56.5,48,0.52,17.2,18,0.48100000000000004,25,30,0.5379999999999999,0.456,36,14,0.433,13,37,0.546,0.469,23,2021-01-07 20:00:00
240,MIN,117,a,POR,0,1,61.5,24,8.2,4,126.6,84.6,33,0.495,0.419,39,0.355,0.758,25,19,10.3,11,0.441,0.341,14,52.2,48,0.544,13.0,16,0.48100000000000004,25,38,0.644,0.544,49,23,0.439,18,44,0.674,0.633,31,2021-01-07 22:00:00
241,POR,135,h,MIN,1,0,51.0,25,11.5,6,109.7,71.7,38,0.644,0.544,49,0.256,0.826,19,23,9.4,10,0.456,0.439,18,47.8,44,0.674,13.0,15,0.633,31,33,0.495,0.419,39,19,0.341,14,48,0.544,0.48100000000000004,25,2021-01-07 22:00:00
242,WAS,107,a,BOS,0,1,53.7,22,7.4,4,110.5,73.8,31,0.528,0.466,41,0.182,0.875,14,24,8.6,9,0.33,0.379,11,43.7,38,0.563,15.2,17,0.508,30,38,0.547,0.47700000000000004,41,22,0.375,12,49,0.585,0.537,29,2021-01-08 19:30:00
243,BOS,116,h,WAS,1,0,51.2,21,6.8,4,101.9,84.4,38,0.547,0.47700000000000004,41,0.349,0.733,22,22,10.5,11,0.37200000000000005,0.375,12,56.3,49,0.585,17.5,21,0.537,29,31,0.528,0.466,41,24,0.379,11,38,0.563,0.508,30,2021-01-08 19:30:00
244,PHO,105,a,DET,0,1,58.5,24,12.5,7,103.7,82.0,41,0.544,0.451,41,0.14300000000000002,0.462,6,25,9.4,10,0.5710000000000001,0.327,17,52.1,50,0.5429999999999999,17.8,21,0.615,24,3,0.47200000000000003,0.667,4,4,0.667,2,3,0.535,0.667,2,2021-01-08 19:00:00
245,DET,110,h,PHO,1,0,62.2,2,10.3,0,99.0,80.4,3,0.47200000000000003,0.667,4,0.322,1.0,2,4,12.3,0,0.37799999999999995,0.667,2,47.9,3,0.535,12.0,2,0.667,2,41,0.544,0.451,41,25,0.327,17,50,0.5429999999999999,0.615,24,2021-01-08 19:00:00
246,LAC,105,a,GSW,0,1,57.5,23,12.2,5,122.8,75.0,27,0.5660000000000001,0.48200000000000004,40,0.157,0.846,11,16,6.4,6,0.373,0.452,14,49.3,37,0.5920000000000001,16.9,18,0.5,26,29,0.61,0.488,40,19,0.488,20,38,0.639,0.488,20,2021-01-08 22:00:00
247,GSW,115,h,LAC,1,0,62.5,25,5.8,3,112.1,74.4,29,0.61,0.488,40,0.22,0.833,15,19,13.9,13,0.5,0.488,20,50.7,38,0.639,14.3,15,0.488,20,27,0.5660000000000001,0.48200000000000004,40,16,0.452,14,37,0.5920000000000001,0.5,26,2021-01-08 22:00:00
248,ORL,90,a,HOU,0,1,50.0,17,4.5,2,136.8,82.5,33,0.42700000000000005,0.382,34,0.18,0.875,14,13,5.2,5,0.326,0.276,8,46.2,42,0.469,11.1,12,0.433,26,42,0.6809999999999999,0.56,51,18,0.46799999999999997,22,49,0.6890000000000001,0.659,29,2021-01-08 20:00:00
249,HOU,132,h,ORL,1,0,66.7,34,13.3,8,93.3,82.4,42,0.6809999999999999,0.56,51,0.121,0.727,8,18,6.2,6,0.516,0.46799999999999997,22,53.8,49,0.6890000000000001,7.7,8,0.659,29,33,0.42700000000000005,0.382,34,13,0.276,8,42,0.469,0.433,26,2021-01-08 20:00:00
250,CHI,115,a,LAL,0,1,56.5,26,5.8,3,120.2,76.2,32,0.56,0.505,46,0.154,0.929,13,23,10.3,10,0.28600000000000003,0.385,10,49.4,41,0.5920000000000001,11.0,12,0.5539999999999999,36,32,0.58,0.506,41,15,0.414,12,42,0.63,0.5579999999999999,29,2021-01-08 22:00:00
251,LAL,117,h,CHI,1,0,51.2,21,12.3,8,118.2,78.0,32,0.58,0.506,41,0.33299999999999996,0.852,23,15,3.1,3,0.358,0.414,12,50.6,42,0.63,13.9,15,0.5579999999999999,29,32,0.56,0.505,46,23,0.385,10,41,0.5920000000000001,0.5539999999999999,36,2021-01-08 22:00:00
252,BRK,110,a,MEM,0,1,68.4,26,6.1,4,111.4,76.0,38,0.556,0.469,38,0.259,0.9520000000000001,20,13,5.8,6,0.38299999999999995,0.452,14,47.7,42,0.609,18.1,20,0.48,24,34,0.526,0.45899999999999996,45,18,0.406,13,46,0.552,0.485,32,2021-01-08 20:00:00
253,MEM,115,h,BRK,1,0,64.4,29,12.0,6,106.5,89.5,34,0.526,0.45899999999999996,45,0.14300000000000002,0.857,12,18,13.6,14,0.327,0.406,13,52.3,46,0.552,10.3,12,0.485,32,38,0.556,0.469,38,13,0.452,14,42,0.609,0.48,24,2021-01-08 20:00:00
254,UTA,131,a,MIL,1,0,63.3,31,14.3,8,113.0,81.6,40,0.634,0.505,49,0.134,0.615,8,18,5.7,6,0.546,0.47200000000000003,25,52.6,50,0.638,8.9,10,0.545,24,36,0.515,0.449,44,19,0.31,13,45,0.55,0.5539999999999999,31,2021-01-08 20:00:00
255,MIL,118,h,UTA,0,1,40.9,18,11.4,5,125.5,78.3,36,0.515,0.449,44,0.214,0.81,17,19,4.8,5,0.429,0.31,13,47.4,45,0.55,10.1,12,0.5539999999999999,31,40,0.634,0.505,49,18,0.47200000000000003,25,50,0.638,0.545,24,2021-01-08 20:00:00
256,CHO,118,a,NOP,1,0,80.5,33,10.3,4,117.1,74.4,29,0.563,0.47100000000000003,41,0.287,0.8,20,20,10.6,10,0.483,0.381,16,55.6,45,0.602,12.5,14,0.556,25,26,0.591,0.494,38,17,0.395,15,36,0.622,0.59,23,2021-01-08 19:30:00
257,NOP,110,h,CHO,0,1,76.3,29,8.9,4,125.6,61.9,26,0.591,0.494,38,0.33799999999999997,0.731,19,17,6.4,6,0.494,0.395,15,44.4,36,0.622,17.7,19,0.59,23,29,0.563,0.47100000000000003,41,20,0.381,16,45,0.602,0.556,25,2021-01-08 19:30:00
258,OKC,101,a,NYK,1,0,42.1,16,10.1,7,93.3,82.3,51,0.5,0.43700000000000006,38,0.24100000000000002,0.667,14,19,2.1,2,0.391,0.324,11,55.9,62,0.525,10.3,11,0.509,27,38,0.401,0.354,34,19,0.33299999999999996,9,49,0.425,0.36200000000000004,25,2021-01-08 19:30:00
259,NYK,89,h,OKC,0,1,55.9,19,13.2,7,105.8,77.6,38,0.401,0.354,34,0.20800000000000002,0.6,12,19,8.4,8,0.281,0.33299999999999996,9,44.1,49,0.425,3.7,4,0.36200000000000004,25,51,0.5,0.43700000000000006,38,19,0.324,11,62,0.525,0.509,27,2021-01-08 19:30:00
260,TOR,144,a,SAC,1,0,56.6,30,10.6,5,124.3,91.4,32,0.6920000000000001,0.5820000000000001,53,0.242,0.818,18,20,8.1,8,0.429,0.513,20,62.9,44,0.715,10.6,12,0.635,33,23,0.66,0.568,46,18,0.441,15,26,0.659,0.66,31,2021-01-08 22:00:00
261,SAC,123,h,TOR,0,1,78.3,36,15.4,8,145.6,65.7,23,0.66,0.568,46,0.34600000000000003,0.5710000000000001,16,18,9.1,9,0.42,0.441,15,37.1,26,0.659,10.5,11,0.66,31,32,0.6920000000000001,0.5820000000000001,53,20,0.513,20,44,0.715,0.635,33,2021-01-08 22:00:00
262,ATL,105,a,CHO,0,1,73.5,25,9.1,4,119.0,83.3,30,0.461,0.382,34,0.315,0.821,23,22,10.5,10,0.506,0.311,14,53.4,47,0.518,12.1,14,0.455,20,35,0.617,0.519,40,19,0.455,15,41,0.645,0.568,25,2021-01-09 19:00:00
263,CHO,113,h,ATL,1,0,67.5,27,15.9,7,110.5,67.3,35,0.617,0.519,40,0.312,0.75,18,19,11.6,11,0.429,0.455,15,46.6,41,0.645,14.6,15,0.568,25,30,0.461,0.382,34,22,0.311,14,47,0.518,0.455,20,2021-01-09 19:00:00
264,ORL,98,a,DAL,0,1,44.7,17,5.1,2,116.6,84.6,33,0.461,0.42700000000000005,38,0.247,0.727,16,16,11.5,11,0.348,0.19399999999999998,6,49.4,43,0.49700000000000005,8.4,9,0.552,32,38,0.62,0.494,39,17,0.5,20,44,0.644,0.48700000000000004,19,2021-01-09 20:30:00
265,DAL,112,h,ORL,1,0,64.1,25,13.8,8,102.1,79.2,38,0.62,0.494,39,0.228,0.778,14,17,5.2,5,0.506,0.5,20,50.6,44,0.644,16.4,17,0.48700000000000004,19,33,0.461,0.42700000000000005,38,16,0.19399999999999998,6,43,0.49700000000000005,0.552,32,2021-01-09 20:30:00
266,PHO,125,a,IND,1,0,71.7,33,3.2,2,119.4,73.5,36,0.574,0.489,46,0.18100000000000002,1.0,17,17,6.1,6,0.436,0.39,16,43.5,40,0.616,1.9,2,0.5660000000000001,30,39,0.5429999999999999,0.478,44,19,0.414,12,52,0.57,0.508,32,2021-01-09 19:00:00
267,IND,117,h,PHO,0,1,52.3,23,7.5,4,127.6,90.7,39,0.5429999999999999,0.478,44,0.261,0.708,17,19,2.0,2,0.315,0.414,12,56.5,52,0.57,8.9,10,0.508,32,36,0.574,0.489,46,17,0.39,16,40,0.616,0.5660000000000001,30,2021-01-09 19:00:00
268,CLE,90,a,MIL,0,1,44.4,16,8.3,4,107.5,75.0,33,0.45399999999999996,0.414,36,0.184,0.688,11,18,6.4,6,0.299,0.26899999999999996,7,51.1,47,0.479,13.8,15,0.475,29,34,0.512,0.44,37,14,0.33299999999999996,12,45,0.544,0.521,25,2021-01-09 20:00:00
269,MIL,100,h,CLE,1,0,67.6,25,6.6,4,96.7,70.8,34,0.512,0.44,37,0.214,0.778,14,14,11.8,11,0.429,0.33299999999999996,12,48.9,45,0.544,14.0,15,0.521,25,33,0.45399999999999996,0.414,36,18,0.26899999999999996,7,47,0.479,0.475,29,2021-01-09 20:00:00
270,SAS,125,a,MIN,1,0,50.0,22,4.5,3,115.2,76.6,36,0.5,0.436,44,0.287,0.828,24,19,7.6,8,0.317,0.406,13,47.5,48,0.5489999999999999,5.0,6,0.449,31,2,0.578,0.4,4,2,0.5,2,5,0.589,0.33299999999999996,2,2021-01-09 20:00:00
271,MIN,122,h,SAS,0,1,60.4,3,10.1,1,118.0,77.8,2,0.578,0.4,4,0.177,1.0,2,2,0.9,1,0.313,0.5,2,52.5,5,0.589,13.4,0,0.33299999999999996,2,36,0.5,0.436,44,19,0.406,13,48,0.5489999999999999,0.449,31,2021-01-09 20:00:00
272,DEN,115,a,PHI,1,0,62.2,28,10.3,7,106.4,60.0,30,0.5670000000000001,0.5,45,0.16699999999999998,0.867,13,12,11.4,11,0.36700000000000005,0.364,12,48.4,45,0.595,15.0,17,0.579,33,28,0.47100000000000003,0.41700000000000004,43,19,0.314,11,48,0.48,0.47100000000000003,32,2021-01-09 15:00:00
273,PHI,103,h,DEN,0,1,53.5,23,7.0,4,118.8,65.1,28,0.47100000000000003,0.41700000000000004,43,0.09699999999999999,0.6,6,19,8.3,8,0.34,0.314,11,51.6,48,0.48,13.0,16,0.47100000000000003,32,30,0.5670000000000001,0.5,45,12,0.364,12,45,0.595,0.579,33,2021-01-09 15:00:00
274,POR,125,a,SAC,1,0,59.1,26,9.8,5,94.3,87.2,41,0.525,0.44,44,0.23,0.87,20,27,9.5,10,0.41,0.415,17,51.5,50,0.568,6.8,8,0.45799999999999996,27,41,0.457,0.40700000000000003,33,20,0.267,8,47,0.513,0.49,25,2021-01-09 22:00:00
275,SAC,99,h,POR,0,1,63.6,21,8.5,5,119.1,82.0,41,0.457,0.40700000000000003,33,0.43200000000000005,0.7140000000000001,25,20,3.8,4,0.37,0.267,8,48.5,47,0.513,13.5,15,0.49,25,41,0.525,0.44,44,27,0.415,17,50,0.568,0.45799999999999996,27,2021-01-09 22:00:00
276,MIA,128,a,WAS,1,0,69.6,32,8.5,5,114.5,87.9,51,0.581,0.495,46,0.28,0.769,20,24,2.8,3,0.462,0.37200000000000005,16,61.0,61,0.613,13.3,16,0.6,30,32,0.52,0.444,44,24,0.375,15,39,0.557,0.49200000000000005,29,2021-01-09 19:00:00
277,WAS,124,h,MIA,0,1,56.8,25,4.0,2,118.2,76.2,32,0.52,0.444,44,0.28300000000000003,0.75,21,24,8.3,9,0.40399999999999997,0.375,15,39.0,39,0.557,5.1,6,0.49200000000000005,29,51,0.581,0.495,46,24,0.37200000000000005,16,61,0.613,0.6,30,2021-01-09 19:00:00
278,OKC,129,a,BRK,1,0,49.0,24,7.8,4,111.6,83.8,31,0.628,0.544,49,0.18899999999999997,0.941,16,22,11.5,12,0.433,0.385,15,44.2,34,0.662,9.3,10,0.667,34,37,0.565,0.506,43,18,0.294,10,43,0.607,0.647,33,2021-01-10 18:00:00
279,BRK,116,h,OKC,0,1,53.5,23,3.9,2,124.1,92.5,37,0.565,0.506,43,0.282,0.833,20,18,2.9,3,0.4,0.294,10,55.8,43,0.607,15.1,17,0.647,33,31,0.628,0.544,49,22,0.385,15,34,0.662,0.667,34,2021-01-10 18:00:00
280,UTA,96,a,DET,1,0,48.6,17,11.1,5,97.6,81.0,47,0.494,0.42700000000000005,35,0.268,0.682,15,17,3.4,3,0.42700000000000005,0.314,11,61.8,63,0.524,12.4,13,0.511,24,28,0.391,0.33299999999999996,29,23,0.23800000000000002,10,39,0.447,0.42200000000000004,19,2021-01-10 15:00:00
281,DET,86,h,UTA,0,1,72.4,21,14.9,7,109.0,63.6,28,0.391,0.33299999999999996,29,0.24100000000000002,0.857,18,23,11.4,10,0.483,0.23800000000000002,10,38.2,39,0.447,6.8,7,0.42200000000000004,19,47,0.494,0.42700000000000005,35,17,0.314,11,63,0.524,0.511,24,2021-01-10 15:00:00
282,TOR,105,a,GSW,0,1,51.3,20,21.3,10,105.9,74.5,35,0.474,0.406,39,0.22899999999999998,0.636,14,22,8.0,8,0.396,0.342,13,48.5,48,0.49700000000000005,8.6,10,0.44799999999999995,26,39,0.478,0.409,38,18,0.28300000000000003,13,51,0.523,0.532,25,2021-01-10 20:30:00
283,GSW,106,h,TOR,1,0,78.9,30,17.2,10,104.9,75.0,39,0.478,0.409,38,0.204,0.895,17,18,2.0,2,0.495,0.28300000000000003,13,51.5,51,0.523,12.9,15,0.532,25,35,0.474,0.406,39,22,0.342,13,48,0.49700000000000005,0.44799999999999995,26,2021-01-10 20:30:00
284,LAL,120,a,HOU,1,0,60.9,28,16.3,8,96.9,75.0,39,0.56,0.505,46,0.264,0.75,18,23,12.3,13,0.319,0.345,10,53.3,49,0.591,13.6,16,0.581,36,30,0.478,0.41100000000000003,37,22,0.293,12,43,0.509,0.51,25,2021-01-10 19:00:00
285,HOU,102,h,LAL,0,1,59.5,22,12.9,8,114.0,75.0,30,0.478,0.41100000000000003,37,0.256,0.696,16,22,6.6,7,0.456,0.293,12,46.7,43,0.509,17.3,21,0.51,25,39,0.56,0.505,46,23,0.345,10,49,0.591,0.581,36,2021-01-10 19:00:00
286,CHI,127,a,LAC,0,1,63.8,30,3.7,2,129.2,74.5,35,0.727,0.61,47,0.221,0.882,15,19,6.0,6,0.429,0.545,18,52.1,38,0.752,20.7,22,0.659,29,23,0.598,0.489,45,19,0.526,20,35,0.631,0.46299999999999997,25,2021-01-10 16:00:00
287,LAC,130,h,CHI,1,0,62.2,28,11.4,5,126.2,88.5,23,0.598,0.489,45,0.272,0.8,20,19,12.9,13,0.413,0.526,20,47.9,35,0.631,8.8,10,0.46299999999999997,25,35,0.727,0.61,47,19,0.545,18,38,0.752,0.659,29,2021-01-10 16:00:00
288,SAS,88,a,MIN,0,1,58.3,21,9.1,5,100.0,80.0,36,0.426,0.38299999999999995,36,0.149,0.5710000000000001,8,16,4.2,4,0.319,0.267,8,46.4,45,0.439,9.1,10,0.43799999999999994,28,43,0.475,0.42,34,17,0.34600000000000003,9,52,0.527,0.455,25,2021-01-10 20:00:00
289,MIN,96,h,SAS,1,0,55.9,19,4.7,3,91.7,82.7,43,0.475,0.42,34,0.284,0.826,19,17,6.2,6,0.321,0.34600000000000003,9,53.6,52,0.527,12.5,13,0.455,25,36,0.426,0.38299999999999995,36,16,0.267,8,45,0.439,0.43799999999999994,28,2021-01-10 20:00:00
290,DEN,114,a,NYK,1,0,51.1,23,7.5,4,97.2,81.4,35,0.625,0.536,45,0.14300000000000002,0.75,9,25,12.0,11,0.41700000000000004,0.429,15,54.4,43,0.638,11.8,12,0.612,30,28,0.473,0.43200000000000005,32,15,0.28600000000000003,6,36,0.524,0.491,26,2021-01-10 18:00:00
