,team_abbr,score,h/a,opp,game_won,game_lost,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,free_throws,personal_fouls,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_percentage,two_point_field_goals,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_field_goals,opp_personal_fouls,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,opp_two_point_field_goals,date
147,MIL,126,h,CHI,1,0,64.3,27,9.8,6,88.7,86.7,39,0.624,0.494,42,0.353,0.667,20,19,14.8,16,0.529,0.489,22,51.2,44,0.642,14.8,17,0.5,20,36,0.47100000000000003,0.43700000000000006,38,21,0.231,6,42,0.501,0.525,32,2021-01-01 20:00:00
148,WAS,130,a,MIN,1,0,71.4,35,5.8,3,104.1,76.1,35,0.64,0.551,49,0.23600000000000002,0.762,16,19,8.6,9,0.371,0.485,16,50.0,43,0.662,14.0,16,0.589,33,32,0.551,0.47700000000000004,42,22,0.361,13,43,0.56,0.5579999999999999,29,2021-01-01 20:00:00
149,MIN,109,h,WAS,0,1,40.5,17,5.4,3,124.1,80.0,32,0.551,0.47700000000000004,42,0.239,0.5710000000000001,12,22,8.6,9,0.409,0.361,13,50.0,43,0.56,17.1,20,0.5579999999999999,29,35,0.64,0.551,49,19,0.485,16,43,0.662,0.589,33,2021-01-01 20:00:00
150,LAL,109,a,SAS,1,0,65.9,27,13.7,7,102.5,84.0,42,0.475,0.406,41,0.158,0.813,13,20,8.0,8,0.327,0.424,14,56.3,58,0.504,10.7,13,0.397,27,37,0.5,0.424,36,20,0.382,13,45,0.534,0.451,23,2021-01-01 20:00:00
151,SAS,103,h,LAL,0,1,63.9,23,11.8,8,108.4,69.8,37,0.5,0.424,36,0.306,0.6920000000000001,18,20,3.0,3,0.4,0.382,13,43.7,45,0.534,11.9,13,0.451,23,42,0.475,0.406,41,20,0.424,14,58,0.504,0.397,27,2021-01-01 20:00:00
152,LAC,100,a,UTA,0,1,57.6,19,17.0,8,117.7,70.5,31,0.465,0.38799999999999996,33,0.282,0.875,21,16,6.7,6,0.38799999999999996,0.39399999999999996,13,48.3,43,0.523,7.7,8,0.385,20,33,0.545,0.461,41,20,0.35700000000000004,15,46,0.557,0.5529999999999999,26,2021-01-01 21:00:00
153,UTA,106,h,LAC,1,0,68.3,28,5.8,3,111.0,73.3,33,0.545,0.461,41,0.157,0.643,9,20,3.3,3,0.47200000000000003,0.35700000000000004,15,51.7,46,0.557,12.0,13,0.5529999999999999,26,31,0.465,0.38799999999999996,33,16,0.39399999999999996,13,43,0.523,0.385,20,2021-01-01 21:00:00
154,CLE,96,a,ATL,1,0,50.0,19,3.8,2,95.7,67.4,31,0.456,0.418,38,0.187,0.765,13,21,10.5,10,0.319,0.24100000000000002,7,48.9,46,0.48700000000000004,13.2,15,0.5,31,33,0.47600000000000003,0.41200000000000003,35,20,0.344,11,48,0.48700000000000004,0.45299999999999996,24,2021-01-02 19:30:00
155,ATL,91,h,CLE,0,1,62.9,22,8.1,5,100.9,68.8,33,0.47600000000000003,0.41200000000000003,35,0.22399999999999998,0.526,10,20,9.5,9,0.376,0.344,11,51.1,48,0.48700000000000004,17.6,20,0.45299999999999996,24,31,0.456,0.418,38,21,0.24100000000000002,7,46,0.48700000000000004,0.5,31,2021-01-02 19:30:00
156,SAC,94,a,HOU,0,1,31.4,11,10.0,4,105.4,84.6,33,0.439,0.389,35,0.233,0.7140000000000001,15,21,5.2,5,0.311,0.321,9,49.5,47,0.474,12.4,14,0.419,26,42,0.525,0.444,36,22,0.317,13,48,0.56,0.575,23,2021-01-02 17:00:00
157,HOU,102,h,SAC,1,0,41.7,15,16.1,10,97.2,75.0,42,0.525,0.444,36,0.284,0.7390000000000001,17,22,10.3,10,0.506,0.317,13,50.5,48,0.56,12.5,13,0.575,23,33,0.439,0.389,35,21,0.321,9,47,0.474,0.419,26,2021-01-02 17:00:00
158,NYK,106,a,IND,1,0,54.8,23,8.8,3,110.4,89.1,41,0.578,0.506,42,0.157,0.769,10,16,4.3,4,0.325,0.444,12,61.4,51,0.597,14.5,15,0.536,30,27,0.518,0.405,34,21,0.38,19,32,0.555,0.441,15,2021-01-02 19:00:00
159,IND,102,h,NYK,0,1,64.7,22,7.1,4,114.8,73.0,27,0.518,0.405,34,0.214,0.833,15,21,6.5,6,0.595,0.38,19,38.6,32,0.555,8.0,8,0.441,15,41,0.578,0.506,42,16,0.444,12,51,0.597,0.536,30,2021-01-02 19:00:00
160,TOR,116,a,NOP,0,1,55.3,21,8.9,4,122.5,68.2,30,0.495,0.418,38,0.297,0.963,26,29,6.1,6,0.527,0.292,14,44.4,40,0.564,8.0,9,0.5579999999999999,24,36,0.506,0.42200000000000004,35,18,0.368,14,50,0.579,0.467,21,2021-01-02 19:30:00
161,NOP,120,h,TOR,1,0,74.3,26,16.3,7,118.4,78.3,36,0.506,0.42200000000000004,35,0.5660000000000001,0.7659999999999999,36,18,6.1,6,0.45799999999999996,0.368,14,55.6,50,0.579,10.4,12,0.467,21,30,0.495,0.418,38,29,0.292,14,40,0.564,0.5579999999999999,24,2021-01-02 19:30:00
162,OKC,108,a,ORL,1,0,57.9,22,7.1,5,99.7,75.4,46,0.517,0.442,38,0.244,0.905,19,17,5.0,5,0.47700000000000004,0.317,13,48.6,52,0.5670000000000001,9.5,10,0.556,25,40,0.41700000000000004,0.37,40,18,0.263,10,55,0.43700000000000006,0.429,30,2021-01-02 19:00:00
